YYYY,MM,DD,hh,mm,ss,Q_AR_TR_sum (m^3/s)
1962,3,23,0,0,0,2157.74016
1962,3,24,0,0,0,2072.78976
1962,3,25,0,0,0,2064.29472
1962,3,26,0,0,0,2041.64128
1962,3,27,0,0,0,2103.93824
1962,3,28,0,0,0,2220.03712
1962,3,29,0,0,0,2279.5024
1962,3,30,0,0,0,2214.37376
1962,3,31,0,0,0,2995.91744
1962,4,1,0,0,0,3505.61984
1962,4,2,0,0,0,3675.52064
1962,4,3,0,0,0,3834.09472
1962,4,4,0,0,0,3987.00544
1962,4,5,0,0,0,4018.15392
1962,4,6,0,0,0,4083.28256
1962,4,7,0,0,0,4168.23296
1962,4,8,0,0,0,4179.55968
1962,4,9,0,0,0,4219.2032
1962,4,10,0,0,0,4236.19328
1962,4,11,0,0,0,4168.23296
1962,4,12,0,0,0,4295.65856
1962,4,13,0,0,0,4731.73728
1962,4,14,0,0,0,5043.22208
1962,4,15,0,0,0,5351.8752
1962,4,16,0,0,0,5677.5184
1962,4,17,0,0,0,6011.65664
1962,4,18,0,0,0,6173.0624
1962,4,19,0,0,0,6399.5968
1962,4,20,0,0,0,6682.7648
1962,4,21,0,0,0,6796.032
1962,4,22,0,0,0,6796.032
1962,4,23,0,0,0,6512.864
1962,4,24,0,0,0,6003.1616
1962,4,25,0,0,0,5320.72672
1962,4,26,0,0,0,4624.13344
1962,4,27,0,0,0,3686.84736
1962,4,28,0,0,0,3463.14464
1962,4,29,0,0,0,3100.6896
1962,4,30,0,0,0,2752.39296
1962,5,1,0,0,0,2256.84896
1962,5,2,0,0,0,2106.76992
1962,5,3,0,0,0,1874.57216
1962,5,4,0,0,0,1636.71104
1962,5,5,0,0,0,1497.95872
1962,5,6,0,0,0,1333.72128
1962,5,7,0,0,0,1305.40448
1962,5,8,0,0,0,1226.11744
1962,5,9,0,0,0,1152.49376
1962,5,10,0,0,0,1050.55328
1962,5,11,0,0,0,891.9792
1962,5,12,0,0,0,859.131712
1962,5,13,0,0,0,773.04864
1962,5,14,0,0,0,765.96944
1962,5,15,0,0,0,869.32576
1962,5,16,0,0,0,738.502144
1962,5,17,0,0,0,682.151712
1962,5,18,0,0,0,684.133888
1962,5,19,0,0,0,680.452704
1962,5,20,0,0,0,668.27648
1962,5,21,0,0,0,649.587392
1962,5,22,0,0,0,627.783456
1962,5,23,0,0,0,511.967744
1962,5,24,0,0,0,475.439072
1962,5,25,0,0,0,472.324224
1962,5,26,0,0,0,473.456896
1962,5,27,0,0,0,523.011296
1962,5,28,0,0,0,656.94976
1962,5,29,0,0,0,430.981696
1962,5,30,0,0,0,407.478752
1962,5,31,0,0,0,433.813376
1962,6,1,0,0,0,395.302528
1962,6,2,0,0,0,446.272768
1962,6,3,0,0,0,719.24672
1962,6,4,0,0,0,770.21696
1962,6,5,0,0,0,707.92
1962,6,6,0,0,0,598.90032
1962,6,7,0,0,0,588.423104
1962,6,8,0,0,0,651.2864
1962,6,9,0,0,0,713.58336
1962,6,10,0,0,0,720.66256
1962,6,11,0,0,0,795.70208
1962,6,12,0,0,0,914.63264
1962,6,13,0,0,0,730.57344
1962,6,14,0,0,0,727.74176
1962,6,15,0,0,0,767.38528
1962,6,16,0,0,0,807.0288
1962,6,17,0,0,0,722.361568
1962,6,18,0,0,0,681.868544
1962,6,19,0,0,0,607.39536
1962,6,20,0,0,0,585.591424
1962,6,21,0,0,0,630.331968
1962,6,22,0,0,0,559.823136
1962,6,23,0,0,0,584.458752
1962,6,24,0,0,0,590.688448
1962,6,25,0,0,0,588.98944
1962,6,26,0,0,0,585.308256
1962,6,27,0,0,0,640.526016
1962,6,28,0,0,0,629.765632
1962,6,29,0,0,0,696.59328
1962,6,30,0,0,0,676.77152
1962,7,1,0,0,0,620.13792
1962,7,2,0,0,0,582.476576
1962,7,3,0,0,0,518.19744
1962,7,4,0,0,0,501.20736
1962,7,5,0,0,0,427.58368
1962,7,6,0,0,0,412.292608
1962,7,7,0,0,0,452.785632
1962,7,8,0,0,0,526.126144
1962,7,9,0,0,0,613.341888
1962,7,10,0,0,0,676.488352
1962,7,11,0,0,0,755.775392
1962,7,12,0,0,0,705.371488
1962,7,13,0,0,0,707.92
1962,7,14,0,0,0,677.337856
1962,7,15,0,0,0,593.803296
1962,7,16,0,0,0,554.442944
1962,7,17,0,0,0,494.12816
1962,7,18,0,0,0,487.898464
1962,7,19,0,0,0,442.308416
1962,7,20,0,0,0,392.18768
1962,7,21,0,0,0,422.203488
1962,7,22,0,0,0,385.957984
1962,7,23,0,0,0,385.674816
1962,7,24,0,0,0,389.072832
1962,7,25,0,0,0,387.373824
1962,7,26,0,0,0,392.470848
1962,7,27,0,0,0,481.951936
1962,7,28,0,0,0,442.874752
1962,7,29,0,0,0,539.151872
1962,7,30,0,0,0,572.282528
1962,7,31,0,0,0,513.100416
1962,8,1,0,0,0,449.953952
1962,8,2,0,0,0,420.50448
1962,8,3,0,0,0,426.16784
1962,8,4,0,0,0,422.486656
1962,8,5,0,0,0,452.219296
1962,8,6,0,0,0,453.918304
1962,8,7,0,0,0,430.41536
1962,8,8,0,0,0,402.664896
1962,8,9,0,0,0,380.86096
1962,8,10,0,0,0,348.013472
1962,8,11,0,0,0,387.94016
1962,8,12,0,0,0,376.330272
1962,8,13,0,0,0,329.89072
1962,8,14,0,0,0,360.472864
1962,8,15,0,0,0,323.094688
1962,8,16,0,0,0,380.294624
1962,8,17,0,0,0,380.294624
1962,8,18,0,0,0,438.9104
1962,8,19,0,0,0,382.559968
1962,8,20,0,0,0,368.684736
1962,8,21,0,0,0,381.144128
1962,8,22,0,0,0,344.04912
1962,8,23,0,0,0,410.876768
1962,8,24,0,0,0,334.987744
1962,8,25,0,0,0,338.102592
1962,8,26,0,0,0,322.81152
1962,8,27,0,0,0,301.57392
1962,8,28,0,0,0,291.379872
1962,8,29,0,0,0,319.130336
1962,8,30,0,0,0,294.777888
1962,8,31,0,0,0,273.25712
1962,9,1,0,0,0,331.30656
1962,9,2,0,0,0,331.30656
1962,9,3,0,0,0,299.025408
1962,9,4,0,0,0,320.546176
1962,9,5,0,0,0,301.007584
1962,9,6,0,0,0,364.154048
1962,9,7,0,0,0,387.656992
1962,9,8,0,0,0,346.031296
1962,9,9,0,0,0,280.902656
1962,9,10,0,0,0,283.168
1962,9,11,0,0,0,289.680864
1962,9,12,0,0,0,320.546176
1962,9,13,0,0,0,428.433184
1962,9,14,0,0,0,446.839104
1962,9,15,0,0,0,391.055008
1962,9,16,0,0,0,421.637152
1962,9,17,0,0,0,427.300512
1962,9,18,0,0,0,441.175744
1962,9,19,0,0,0,458.73216
1962,9,20,0,0,0,547.646912
1962,9,21,0,0,0,507.437056
1962,9,22,0,0,0,509.136064
1962,9,23,0,0,0,470.342048
1962,9,24,0,0,0,430.698528
1962,9,25,0,0,0,432.963872
1962,9,26,0,0,0,379.728288
1962,9,27,0,0,0,369.53424
1962,9,28,0,0,0,327.908544
1962,9,29,0,0,0,343.199616
1962,9,30,0,0,0,350.278816
1962,10,1,0,0,0,428.99952
1962,10,2,0,0,0,365.28672
1962,10,3,0,0,0,399.833216
1962,10,4,0,0,0,369.817408
1962,10,5,0,0,0,371.516416
1962,10,6,0,0,0,429.849024
1962,10,7,0,0,0,647.605216
1962,10,8,0,0,0,731.422944
1962,10,9,0,0,0,720.945728
1962,10,10,0,0,0,641.092352
1962,10,11,0,0,0,600.599328
1962,10,12,0,0,0,551.611264
1962,10,13,0,0,0,523.8608
1962,10,14,0,0,0,545.381568
1962,10,15,0,0,0,528.391488
1962,10,16,0,0,0,509.985568
